zone,day_of_week,hour,is_weekday,is_rush_hour,congestion_score,congestion_level,pollution_score,pollution_level,infra_score,infra_level
Indiranagar,4,18,1,1,0.794,high,0.584,medium,0.653,high
MG Road,4,19,1,1,1.0,high,0.705,high,0.656,high
Whitefield,4,19,1,1,0.975,high,0.76,high,0.658,high
Koramangala,4,19,1,1,0.616,medium,0.199,low,0.549,medium
Electronic City,4,19,1,1,1.0,high,0.718,high,0.518,medium
Indiranagar,4,19,1,1,0.822,high,0.516,medium,0.608,high
MG Road,4,20,1,1,0.959,high,0.748,high,0.887,high
Whitefield,4,20,1,1,0.802,high,0.402,medium,0.461,medium
Koramangala,4,20,1,1,0.675,high,0.518,medium,0.63,high
Electronic City,4,20,1,1,1.0,high,0.519,medium,0.451,medium
Indiranagar,4,20,1,1,0.882,high,0.572,medium,0.779,high
MG Road,4,21,1,0,0.725,high,0.604,high,0.525,medium
Whitefield,4,21,1,0,0.621,medium,0.352,medium,0.454,medium
Koramangala,4,21,1,0,0.486,medium,0.365,medium,0.585,medium
Electronic City,4,21,1,0,0.692,high,0.494,medium,0.537,medium
Indiranagar,4,21,1,0,0.524,medium,0.373,medium,0.551,medium
MG Road,4,22,1,0,0.874,high,0.726,high,0.563,medium
Whitefield,4,22,1,0,0.623,medium,0.305,medium,0.327,medium
Koramangala,4,22,1,0,0.386,medium,0.385,medium,0.407,medium
Electronic City,4,22,1,0,0.753,high,0.572,medium,0.528,medium
Indiranagar,4,22,1,0,0.63,medium,0.383,medium,0.431,medium
MG Road,4,23,1,0,0.782,high,0.468,medium,0.675,high
Whitefield,4,23,1,0,0.722,high,0.562,medium,0.258,low
Koramangala,4,23,1,0,0.349,low,0.246,low,0.196,low
Electronic City,4,23,1,0,0.752,high,0.574,medium,0.617,high
Indiranagar,4,23,1,0,0.745,high,0.403,medium,0.562,medium
MG Road,5,0,0,0,0.242,low,0.098,low,0.407,medium
Whitefield,5,0,0,0,0.044,low,0.092,low,0.303,medium
Koramangala,5,0,0,0,0.0,low,0.0,low,0.097,low
Electronic City,5,0,0,0,0.363,medium,0.345,medium,0.36,medium
Indiranagar,5,0,0,0,0.037,low,0.187,low,0.274,low
MG Road,5,1,0,0,0.113,low,0.106,low,0.222,low
Whitefield,5,1,0,0,0.072,low,0.184,low,0.011,low
Koramangala,5,1,0,0,0.0,low,0.086,low,0.15,low
Electronic City,5,1,0,0,0.233,low,0.205,low,0.357,medium
Indiranagar,5,1,0,0,0.0,low,0.0,low,0.315,medium
MG Road,5,2,0,0,0.124,low,0.181,low,0.346,medium
Whitefield,5,2,0,0,0.026,low,0.087,low,0.0,low
Koramangala,5,2,0,0,0.0,low,0.045,low,0.225,low
Electronic City,5,2,0,0,0.161,low,0.065,low,0.394,medium
Indiranagar,5,2,0,0,0.123,low,0.02,low,0.459,medium
MG Road,5,3,0,0,0.31,low,0.266,low,0.477,medium
Whitefield,5,3,0,0,0.0,low,0.151,low,0.245,low
Koramangala,5,3,0,0,0.0,low,0.024,low,0.191,low
Electronic City,5,3,0,0,0.155,low,0.162,low,0.157,low
Indiranagar,5,3,0,0,0.062,low,0.053,low,0.338,medium
MG Road,5,4,0,0,0.325,low,0.268,low,0.499,medium
Whitefield,5,4,0,0,0.0,low,0.046,low,0.158,low
Koramangala,5,4,0,0,0.0,low,0.0,low,0.315,medium
Electronic City,5,4,0,0,0.22,low,0.08,low,0.206,low
Indiranagar,5,4,0,0,0.122,low,0.077,low,0.323,medium
MG Road,5,5,0,0,0.534,medium,0.475,medium,0.562,medium
Whitefield,5,5,0,0,0.255,low,0.081,low,0.252,low
Koramangala,5,5,0,0,0.099,low,0.0,low,0.165,low
Electronic City,5,5,0,0,0.478,medium,0.294,low,0.438,medium
Indiranagar,5,5,0,0,0.171,low,0.043,low,0.423,medium
MG Road,5,6,0,0,0.497,medium,0.226,low,0.431,medium
Whitefield,5,6,0,0,0.386,medium,0.245,low,0.232,low
Koramangala,5,6,0,0,0.189,low,0.169,low,0.149,low
Electronic City,5,6,0,0,0.508,medium,0.225,low,0.495,medium
Indiranagar,5,6,0,0,0.448,medium,0.285,low,0.561,medium
MG Road,5,7,0,0,0.49,medium,0.329,medium,0.437,medium
Whitefield,5,7,0,0,0.348,low,0.25,low,0.289,low
Koramangala,5,7,0,0,0.143,low,0.113,low,0.383,medium
Electronic City,5,7,0,0,0.339,low,0.429,medium,0.276,low
Indiranagar,5,7,0,0,0.344,low,0.374,medium,0.473,medium
MG Road,5,8,0,1,0.593,medium,0.54,medium,0.521,medium
Whitefield,5,8,0,1,0.424,medium,0.17,low,0.361,medium
Koramangala,5,8,0,1,0.195,low,0.251,low,0.349,medium
Electronic City,5,8,0,1,0.516,medium,0.33,medium,0.349,medium
Indiranagar,5,8,0,1,0.324,low,0.097,low,0.579,medium
MG Road,5,9,0,1,0.63,medium,0.466,medium,0.633,high
Whitefield,5,9,0,1,0.41,medium,0.188,low,0.378,medium
Koramangala,5,9,0,1,0.252,low,0.108,low,0.147,low
Electronic City,5,9,0,1,0.407,medium,0.275,low,0.216,low
Indiranagar,5,9,0,1,0.336,low,0.17,low,0.409,medium
MG Road,5,10,0,1,0.509,medium,0.353,medium,0.564,medium
Whitefield,5,10,0,1,0.273,low,0.219,low,0.174,low
Koramangala,5,10,0,1,0.15,low,0.096,low,0.295,low
Electronic City,5,10,0,1,0.515,medium,0.484,medium,0.378,medium
Indiranagar,5,10,0,1,0.3,low,0.303,medium,0.428,medium
MG Road,5,11,0,0,0.621,medium,0.423,medium,0.417,medium
Whitefield,5,11,0,0,0.53,medium,0.31,medium,0.246,low
Koramangala,5,11,0,0,0.207,low,0.051,low,0.244,low
Electronic City,5,11,0,0,0.51,medium,0.343,medium,0.343,medium
Indiranagar,5,11,0,0,0.477,medium,0.323,medium,0.376,medium
MG Road,5,12,0,0,0.628,medium,0.367,medium,0.54,medium
Whitefield,5,12,0,0,0.278,low,0.215,low,0.265,low
Koramangala,5,12,0,0,0.148,low,0.118,low,0.341,medium
Electronic City,5,12,0,0,0.556,medium,0.285,low,0.33,medium
Indiranagar,5,12,0,0,0.424,medium,0.218,low,0.494,medium
MG Road,5,13,0,0,0.617,medium,0.268,low,0.506,medium
Whitefield,5,13,0,0,0.415,medium,0.276,low,0.276,low
Koramangala,5,13,0,0,0.216,low,0.262,low,0.219,low
Electronic City,5,13,0,0,0.641,medium,0.271,low,0.281,low
Indiranagar,5,13,0,0,0.314,low,0.186,low,0.372,medium
MG Road,5,14,0,0,0.507,medium,0.283,low,0.481,medium
Whitefield,5,14,0,0,0.303,low,0.28,low,0.274,low
Koramangala,5,14,0,0,0.132,low,0.085,low,0.364,medium
Electronic City,5,14,0,0,0.461,medium,0.196,low,0.262,low
Indiranagar,5,14,0,0,0.331,low,0.28,low,0.496,medium
MG Road,5,15,0,0,0.682,high,0.551,medium,0.484,medium
Whitefield,5,15,0,0,0.334,low,0.017,low,0.252,low
Koramangala,5,15,0,0,0.102,low,0.0,low,0.451,medium
Electronic City,5,15,0,0,0.47,medium,0.118,low,0.335,medium
Indiranagar,5,15,0,0,0.482,medium,0.528,medium,0.474,medium
MG Road,5,16,0,0,0.558,medium,0.513,medium,0.508,medium
Whitefield,5,16,0,0,0.387,medium,0.355,medium,0.197,low
Koramangala,5,16,0,0,0.273,low,0.103,low,0.246,low
Electronic City,5,16,0,0,0.508,medium,0.45,medium,0.446,medium
Indiranagar,5,16,0,0,0.346,low,0.271,low,0.521,medium
MG Road,5,17,0,1,0.551,medium,0.304,medium,0.46,medium
Whitefield,5,17,0,1,0.423,medium,0.215,low,0.162,low
Koramangala,5,17,0,1,0.126,low,0.08,low,0.336,medium
Electronic City,5,17,0,1,0.383,medium,0.303,medium,0.443,medium
Indiranagar,5,17,0,1,0.285,low,0.207,low,0.174,low
MG Road,5,18,0,1,0.62,medium,0.513,medium,0.546,medium
Whitefield,5,18,0,1,0.244,low,0.237,low,0.223,low
Koramangala,5,18,0,1,0.0,low,0.078,low,0.316,medium
Electronic City,5,18,0,1,0.607,medium,0.297,low,0.226,low
Indiranagar,5,18,0,1,0.317,low,0.274,low,0.308,medium
MG Road,5,19,0,1,0.423,medium,0.368,medium,0.435,medium
Whitefield,5,19,0,1,0.4,medium,0.281,low,0.293,low
Koramangala,5,19,0,1,0.145,low,0.066,low,0.212,low
Electronic City,5,19,0,1,0.412,medium,0.337,medium,0.465,medium
Indiranagar,5,19,0,1,0.31,low,0.404,medium,0.437,medium
MG Road,5,20,0,1,0.571,medium,0.465,medium,0.626,high
Whitefield,5,20,0,1,0.314,low,0.275,low,0.38,medium
Koramangala,5,20,0,1,0.12,low,0.084,low,0.171,low
Electronic City,5,20,0,1,0.461,medium,0.287,low,0.269,low
Indiranagar,5,20,0,1,0.345,low,0.275,low,0.456,medium
MG Road,5,21,0,0,0.485,medium,0.279,low,0.579,medium
Whitefield,5,21,0,0,0.301,low,0.293,low,0.197,low
Koramangala,5,21,0,0,0.18,low,0.201,low,0.007,low
Electronic City,5,21,0,0,0.569,medium,0.529,medium,0.372,medium
Indiranagar,5,21,0,0,0.378,medium,0.18,low,0.462,medium
MG Road,5,22,0,0,0.747,high,0.303,medium,0.549,medium
Whitefield,5,22,0,0,0.414,medium,0.416,medium,0.177,low
Koramangala,5,22,0,0,0.099,low,0.011,low,0.174,low
Electronic City,5,22,0,0,0.491,medium,0.201,low,0.346,medium
Indiranagar,5,22,0,0,0.275,low,0.186,low,0.315,medium
MG Road,5,23,0,0,0.536,medium,0.272,low,0.61,high
Whitefield,5,23,0,0,0.324,low,0.228,low,0.265,low
Koramangala,5,23,0,0,0.151,low,0.106,low,0.341,medium
Electronic City,5,23,0,0,0.477,medium,0.262,low,0.37,medium
Indiranagar,5,23,0,0,0.301,low,0.203,low,0.29,low
MG Road,6,0,0,0,0.334,low,0.156,low,0.554,medium
Whitefield,6,0,0,0,0.045,low,0.117,low,0.091,low
Koramangala,6,0,0,0,0.0,low,0.0,low,0.45,medium
Electronic City,6,0,0,0,0.152,low,0.216,low,0.106,low
Indiranagar,6,0,0,0,0.064,low,0.08,low,0.584,medium
MG Road,6,1,0,0,0.225,low,0.086,low,0.425,medium
Whitefield,6,1,0,0,0.0,low,0.041,low,0.145,low
Koramangala,6,1,0,0,0.0,low,0.049,low,0.211,low
Electronic City,6,1,0,0,0.261,low,0.348,medium,0.229,low
Indiranagar,6,1,0,0,0.017,low,0.0,low,0.334,medium
MG Road,6,2,0,0,0.198,low,0.173,low,0.496,medium
Whitefield,6,2,0,0,0.0,low,0.0,low,0.251,low
Koramangala,6,2,0,0,0.0,low,0.06,low,0.161,low
Electronic City,6,2,0,0,0.085,low,0.0,low,0.108,low
Indiranagar,6,2,0,0,0.097,low,0.096,low,0.254,low
MG Road,6,3,0,0,0.216,low,0.199,low,0.354,medium
Whitefield,6,3,0,0,0.004,low,0.2,low,0.096,low
Koramangala,6,3,0,0,0.0,low,0.039,low,0.048,low
Electronic City,6,3,0,0,0.146,low,0.184,low,0.22,low
Indiranagar,6,3,0,0,0.0,low,0.039,low,0.217,low
MG Road,6,4,0,0,0.285,low,0.468,medium,0.452,medium
Whitefield,6,4,0,0,0.099,low,0.044,low,0.078,low
Koramangala,6,4,0,0,0.0,low,0.0,low,0.177,low
Electronic City,6,4,0,0,0.343,low,0.207,low,0.434,medium
Indiranagar,6,4,0,0,0.081,low,0.001,low,0.342,medium
MG Road,6,5,0,0,0.493,medium,0.435,medium,0.622,high
Whitefield,6,5,0,0,0.354,medium,0.382,medium,0.308,medium
Koramangala,6,5,0,0,0.223,low,0.451,medium,0.537,medium
Electronic City,6,5,0,0,0.485,medium,0.369,medium,0.264,low
Indiranagar,6,5,0,0,0.414,medium,0.329,medium,0.363,medium
MG Road,6,6,0,0,0.645,medium,0.425,medium,0.506,medium
Whitefield,6,6,0,0,0.382,medium,0.221,low,0.3,low
Koramangala,6,6,0,0,0.29,low,0.141,low,0.383,medium
Electronic City,6,6,0,0,0.453,medium,0.22,low,0.348,medium
Indiranagar,6,6,0,0,0.565,medium,0.473,medium,0.547,medium
MG Road,6,7,0,0,0.508,medium,0.317,medium,0.355,medium
Whitefield,6,7,0,0,0.494,medium,0.372,medium,0.366,medium
Koramangala,6,7,0,0,0.166,low,0.325,medium,0.296,low
Electronic City,6,7,0,0,0.485,medium,0.519,medium,0.356,medium
Indiranagar,6,7,0,0,0.215,low,0.0,low,0.342,medium
MG Road,6,8,0,1,0.573,medium,0.484,medium,0.438,medium
Whitefield,6,8,0,1,0.332,low,0.151,low,0.394,medium
Koramangala,6,8,0,1,0.253,low,0.373,medium,0.336,medium
Electronic City,6,8,0,1,0.649,medium,0.385,medium,0.456,medium
Indiranagar,6,8,0,1,0.265,low,0.243,low,0.41,medium
MG Road,6,9,0,1,0.354,medium,0.359,medium,0.527,medium
Whitefield,6,9,0,1,0.306,low,0.242,low,0.123,low
Koramangala,6,9,0,1,0.088,low,0.229,low,0.12,low
Electronic City,6,9,0,1,0.501,medium,0.211,low,0.409,medium
Indiranagar,6,9,0,1,0.395,medium,0.349,medium,0.48,medium
MG Road,6,10,0,1,0.664,high,0.409,medium,0.46,medium
Whitefield,6,10,0,1,0.303,low,0.077,low,0.279,low
Koramangala,6,10,0,1,0.139,low,0.145,low,0.094,low
Electronic City,6,10,0,1,0.499,medium,0.471,medium,0.432,medium
Indiranagar,6,10,0,1,0.198,low,0.138,low,0.281,low
MG Road,6,11,0,0,0.551,medium,0.348,medium,0.694,high
Whitefield,6,11,0,0,0.357,medium,0.281,low,0.288,low
Koramangala,6,11,0,0,0.188,low,0.11,low,0.353,medium
Electronic City,6,11,0,0,0.469,medium,0.466,medium,0.412,medium
Indiranagar,6,11,0,0,0.338,low,0.321,medium,0.459,medium
MG Road,6,12,0,0,0.616,medium,0.44,medium,0.522,medium
Whitefield,6,12,0,0,0.361,medium,0.203,low,0.392,medium
Koramangala,6,12,0,0,0.268,low,0.245,low,0.449,medium
Electronic City,6,12,0,0,0.59,medium,0.386,medium,0.495,medium
Indiranagar,6,12,0,0,0.247,low,0.192,low,0.256,low
MG Road,6,13,0,0,0.541,medium,0.235,low,0.626,high
Whitefield,6,13,0,0,0.318,low,0.314,medium,0.27,low
Koramangala,6,13,0,0,0.002,low,0.0,low,0.148,low
Electronic City,6,13,0,0,0.499,medium,0.5,medium,0.542,medium
Indiranagar,6,13,0,0,0.332,low,0.106,low,0.333,medium
MG Road,6,14,0,0,0.588,medium,0.401,medium,0.378,medium
Whitefield,6,14,0,0,0.31,low,0.348,medium,0.303,medium
Koramangala,6,14,0,0,0.154,low,0.069,low,0.216,low
Electronic City,6,14,0,0,0.544,medium,0.395,medium,0.47,medium
Indiranagar,6,14,0,0,0.394,medium,0.278,low,0.471,medium
MG Road,6,15,0,0,0.503,medium,0.347,medium,0.635,high
Whitefield,6,15,0,0,0.351,medium,0.224,low,0.311,medium
Koramangala,6,15,0,0,0.057,low,0.062,low,0.392,medium
Electronic City,6,15,0,0,0.435,medium,0.331,medium,0.347,medium
Indiranagar,6,15,0,0,0.346,low,0.236,low,0.485,medium
MG Road,6,16,0,0,0.462,medium,0.392,medium,0.492,medium
Whitefield,6,16,0,0,0.209,low,0.184,low,0.245,low
Koramangala,6,16,0,0,0.08,low,0.072,low,0.1,low
Electronic City,6,16,0,0,0.445,medium,0.315,medium,0.185,low
Indiranagar,6,16,0,0,0.258,low,0.08,low,0.386,medium
MG Road,6,17,0,1,0.585,medium,0.32,medium,0.439,medium
Whitefield,6,17,0,1,0.361,medium,0.264,low,0.224,low
Koramangala,6,17,0,1,0.296,low,0.226,low,0.302,medium
Electronic City,6,17,0,1,0.469,medium,0.429,medium,0.417,medium
Indiranagar,6,17,0,1,0.211,low,0.078,low,0.315,medium
MG Road,6,18,0,1,0.549,medium,0.447,medium,0.413,medium
Whitefield,6,18,0,1,0.344,low,0.41,medium,0.29,low
Koramangala,6,18,0,1,0.094,low,0.0,low,0.189,low
Electronic City,6,18,0,1,0.414,medium,0.25,low,0.395,medium
Indiranagar,6,18,0,1,0.353,medium,0.199,low,0.237,low
MG Road,6,19,0,1,0.617,medium,0.396,medium,0.557,medium
Whitefield,6,19,0,1,0.277,low,0.153,low,0.203,low
Koramangala,6,19,0,1,0.043,low,0.0,low,0.216,low
Electronic City,6,19,0,1,0.524,medium,0.298,low,0.264,low
Indiranagar,6,19,0,1,0.321,low,0.303,medium,0.31,medium
MG Road,6,20,0,1,0.551,medium,0.32,medium,0.633,high
Whitefield,6,20,0,1,0.309,low,0.283,low,0.375,medium
Koramangala,6,20,0,1,0.273,low,0.056,low,0.17,low
Electronic City,6,20,0,1,0.593,medium,0.515,medium,0.351,medium
Indiranagar,6,20,0,1,0.091,low,0.072,low,0.16,low
MG Road,6,21,0,0,0.484,medium,0.357,medium,0.525,medium
Whitefield,6,21,0,0,0.477,medium,0.296,low,0.243,low
Koramangala,6,21,0,0,0.223,low,0.194,low,0.253,low
Electronic City,6,21,0,0,0.503,medium,0.314,medium,0.445,medium
Indiranagar,6,21,0,0,0.485,medium,0.267,low,0.511,medium
MG Road,6,22,0,0,0.428,medium,0.192,low,0.527,medium
Whitefield,6,22,0,0,0.344,low,0.13,low,0.289,low
Koramangala,6,22,0,0,0.22,low,0.01,low,0.463,medium
Electronic City,6,22,0,0,0.546,medium,0.441,medium,0.393,medium
Indiranagar,6,22,0,0,0.49,medium,0.439,medium,0.434,medium
MG Road,6,23,0,0,0.611,medium,0.354,medium,0.516,medium
Whitefield,6,23,0,0,0.467,medium,0.366,medium,0.403,medium
Koramangala,6,23,0,0,0.244,low,0.225,low,0.216,low
Electronic City,6,23,0,0,0.633,medium,0.495,medium,0.487,medium
Indiranagar,6,23,0,0,0.354,medium,0.359,medium,0.608,high
MG Road,0,0,1,0,0.47,medium,0.436,medium,0.491,medium
Whitefield,0,0,1,0,0.14,low,0.0,low,0.248,low
Koramangala,0,0,1,0,0.181,low,0.187,low,0.349,medium
Electronic City,0,0,1,0,0.657,high,0.513,medium,0.411,medium
Indiranagar,0,0,1,0,0.29,low,0.366,medium,0.264,low
MG Road,0,1,1,0,0.599,medium,0.421,medium,0.456,medium
Whitefield,0,1,1,0,0.184,low,0.277,low,0.138,low
Koramangala,0,1,1,0,0.105,low,0.0,low,0.439,medium
Electronic City,0,1,1,0,0.458,medium,0.186,low,0.315,medium
Indiranagar,0,1,1,0,0.411,medium,0.19,low,0.403,medium
MG Road,0,2,1,0,0.595,medium,0.451,medium,0.416,medium
Whitefield,0,2,1,0,0.318,low,0.207,low,0.282,low
Koramangala,0,2,1,0,0.176,low,0.147,low,0.261,low
Electronic City,0,2,1,0,0.439,medium,0.415,medium,0.278,low
Indiranagar,0,2,1,0,0.127,low,0.066,low,0.363,medium
MG Road,0,3,1,0,0.467,medium,0.274,low,0.45,medium
Whitefield,0,3,1,0,0.298,low,0.079,low,0.335,medium
Koramangala,0,3,1,0,0.0,low,0.054,low,0.231,low
Electronic City,0,3,1,0,0.49,medium,0.15,low,0.4,medium
Indiranagar,0,3,1,0,0.257,low,0.34,medium,0.414,medium
MG Road,0,4,1,0,0.406,medium,0.115,low,0.401,medium
Whitefield,0,4,1,0,0.365,medium,0.371,medium,0.314,medium
Koramangala,0,4,1,0,0.106,low,0.041,low,0.24,low
Electronic City,0,4,1,0,0.547,medium,0.348,medium,0.46,medium
Indiranagar,0,4,1,0,0.258,low,0.282,low,0.436,medium
MG Road,0,5,1,0,0.878,high,0.803,high,0.393,medium
Whitefield,0,5,1,0,0.66,high,0.509,medium,0.459,medium
Koramangala,0,5,1,0,0.419,medium,0.317,medium,0.401,medium
Electronic City,0,5,1,0,0.822,high,0.658,high,0.501,medium
Indiranagar,0,5,1,0,0.585,medium,0.412,medium,0.468,medium
MG Road,0,6,1,0,0.942,high,0.533,medium,0.752,high
Whitefield,0,6,1,0,0.66,high,0.409,medium,0.443,medium
Koramangala,0,6,1,0,0.501,medium,0.318,medium,0.532,medium
Electronic City,0,6,1,0,0.839,high,0.517,medium,0.4,medium
Indiranagar,0,6,1,0,0.613,medium,0.305,medium,0.23,low
MG Road,0,7,1,0,0.761,high,0.75,high,0.56,medium
Whitefield,0,7,1,0,0.63,medium,0.511,medium,0.398,medium
Koramangala,0,7,1,0,0.373,medium,0.384,medium,0.353,medium
Electronic City,0,7,1,0,0.743,high,0.6,medium,0.369,medium
Indiranagar,0,7,1,0,0.499,medium,0.187,low,0.531,medium
MG Road,0,8,1,1,1.0,high,0.783,high,0.705,high
Whitefield,0,8,1,1,0.74,high,0.483,medium,0.536,medium
Koramangala,0,8,1,1,0.629,medium,0.559,medium,0.406,medium
Electronic City,0,8,1,1,1.0,high,0.522,medium,0.552,medium
Indiranagar,0,8,1,1,0.819,high,0.434,medium,0.714,high
MG Road,0,9,1,1,0.999,high,0.625,high,0.83,high
Whitefield,0,9,1,1,0.863,high,0.682,high,0.325,medium
Koramangala,0,9,1,1,0.586,medium,0.619,high,0.52,medium
Electronic City,0,9,1,1,0.914,high,0.662,high,0.441,medium
Indiranagar,0,9,1,1,0.962,high,0.446,medium,0.687,high
MG Road,0,10,1,1,1.0,high,0.589,medium,0.673,high
Whitefield,0,10,1,1,0.88,high,0.438,medium,0.374,medium
Koramangala,0,10,1,1,0.638,medium,0.363,medium,0.409,medium
Electronic City,0,10,1,1,0.998,high,0.608,high,0.572,medium
Indiranagar,0,10,1,1,0.874,high,0.69,high,0.5,medium
MG Road,0,11,1,0,0.75,high,0.584,medium,0.452,medium
Whitefield,0,11,1,0,0.608,medium,0.429,medium,0.135,low
Koramangala,0,11,1,0,0.36,medium,0.285,low,0.323,medium
Electronic City,0,11,1,0,0.712,high,0.514,medium,0.559,medium
Indiranagar,0,11,1,0,0.643,medium,0.375,medium,0.386,medium
MG Road,0,12,1,0,0.842,high,0.471,medium,0.584,medium
Whitefield,0,12,1,0,0.616,medium,0.546,medium,0.525,medium
Koramangala,0,12,1,0,0.405,medium,0.232,low,0.242,low
Electronic City,0,12,1,0,0.907,high,0.606,high,0.605,high
Indiranagar,0,12,1,0,0.616,medium,0.381,medium,0.468,medium
MG Road,0,13,1,0,0.689,high,0.595,medium,0.564,medium
Whitefield,0,13,1,0,0.714,high,0.455,medium,0.406,medium
Koramangala,0,13,1,0,0.309,low,0.185,low,0.2,low
Electronic City,0,13,1,0,0.782,high,0.558,medium,0.635,high
Indiranagar,0,13,1,0,0.483,medium,0.46,medium,0.371,medium
MG Road,0,14,1,0,0.828,high,0.465,medium,0.651,high
Whitefield,0,14,1,0,0.399,medium,0.212,low,0.32,medium
Koramangala,0,14,1,0,0.54,medium,0.166,low,0.416,medium
Electronic City,0,14,1,0,0.709,high,0.304,medium,0.346,medium
Indiranagar,0,14,1,0,0.562,medium,0.44,medium,0.509,medium
MG Road,0,15,1,0,0.695,high,0.303,medium,0.62,high
Whitefield,0,15,1,0,0.584,medium,0.57,medium,0.348,medium
Koramangala,0,15,1,0,0.491,medium,0.398,medium,0.479,medium
Electronic City,0,15,1,0,0.785,high,0.595,medium,0.26,low
Indiranagar,0,15,1,0,0.581,medium,0.34,medium,0.634,high
MG Road,0,16,1,0,0.72,high,0.476,medium,0.668,high
Whitefield,0,16,1,0,0.624,medium,0.454,medium,0.511,medium
Koramangala,0,16,1,0,0.421,medium,0.24,low,0.239,low
Electronic City,0,16,1,0,0.789,high,0.475,medium,0.466,medium
Indiranagar,0,16,1,0,0.686,high,0.458,medium,0.505,medium
MG Road,0,17,1,1,1.0,high,0.675,high,0.601,high
Whitefield,0,17,1,1,0.984,high,0.634,high,0.622,high
Koramangala,0,17,1,1,0.569,medium,0.453,medium,0.444,medium
Electronic City,0,17,1,1,1.0,high,0.717,high,0.617,high
Indiranagar,0,17,1,1,0.832,high,0.565,medium,0.665,high
MG Road,0,18,1,1,0.959,high,0.541,medium,0.701,high
Whitefield,0,18,1,1,0.689,high,0.314,medium,0.606,high
Koramangala,0,18,1,1,0.774,high,0.485,medium,0.609,high
Electronic City,0,18,1,1,1.0,high,0.747,high,0.567,medium
Indiranagar,0,18,1,1,0.9,high,0.71,high,0.699,high
MG Road,0,19,1,1,0.926,high,0.852,high,0.911,high
Whitefield,0,19,1,1,0.697,high,0.539,medium,0.633,high
Koramangala,0,19,1,1,0.73,high,0.612,high,0.348,medium
Electronic City,0,19,1,1,1.0,high,0.724,high,0.653,high
Indiranagar,0,19,1,1,0.767,high,0.43,medium,0.568,medium
MG Road,0,20,1,1,1.0,high,0.684,high,0.652,high
Whitefield,0,20,1,1,0.834,high,0.517,medium,0.479,medium
Koramangala,0,20,1,1,0.536,medium,0.427,medium,0.441,medium
Electronic City,0,20,1,1,0.899,high,0.762,high,0.452,medium
Indiranagar,0,20,1,1,0.945,high,0.695,high,0.753,high
MG Road,0,21,1,0,0.814,high,0.627,high,0.725,high
Whitefield,0,21,1,0,0.753,high,0.634,high,0.496,medium
Koramangala,0,21,1,0,0.292,low,0.0,low,0.304,medium
Electronic City,0,21,1,0,0.693,high,0.417,medium,0.444,medium
Indiranagar,0,21,1,0,0.653,high,0.395,medium,0.626,high
MG Road,0,22,1,0,0.803,high,0.566,medium,0.809,high
Whitefield,0,22,1,0,0.614,medium,0.425,medium,0.448,medium
Koramangala,0,22,1,0,0.544,medium,0.376,medium,0.461,medium
Electronic City,0,22,1,0,0.741,high,0.509,medium,0.423,medium
Indiranagar,0,22,1,0,0.555,medium,0.558,medium,0.442,medium
MG Road,0,23,1,0,0.677,high,0.486,medium,0.672,high
Whitefield,0,23,1,0,0.699,high,0.37,medium,0.541,medium
Koramangala,0,23,1,0,0.565,medium,0.327,medium,0.408,medium
Electronic City,0,23,1,0,0.651,high,0.641,high,0.286,low
Indiranagar,0,23,1,0,0.568,medium,0.476,medium,0.434,medium
MG Road,1,0,1,0,0.421,medium,0.289,low,0.707,high
Whitefield,1,0,1,0,0.28,low,0.175,low,0.15,low
Koramangala,1,0,1,0,0.131,low,0.18,low,0.192,low
Electronic City,1,0,1,0,0.493,medium,0.285,low,0.183,low
Indiranagar,1,0,1,0,0.337,low,0.443,medium,0.29,low
MG Road,1,1,1,0,0.514,medium,0.491,medium,0.496,medium
Whitefield,1,1,1,0,0.186,low,0.135,low,0.373,medium
Koramangala,1,1,1,0,0.059,low,0.065,low,0.118,low
Electronic City,1,1,1,0,0.442,medium,0.348,medium,0.364,medium
Indiranagar,1,1,1,0,0.265,low,0.23,low,0.448,medium
MG Road,1,2,1,0,0.559,medium,0.362,medium,0.461,medium
Whitefield,1,2,1,0,0.457,medium,0.334,medium,0.307,medium
Koramangala,1,2,1,0,0.0,low,0.0,low,0.136,low
Electronic City,1,2,1,0,0.485,medium,0.304,medium,0.371,medium
Indiranagar,1,2,1,0,0.185,low,0.27,low,0.275,low
MG Road,1,3,1,0,0.519,medium,0.31,medium,0.476,medium
Whitefield,1,3,1,0,0.236,low,0.195,low,0.147,low
Koramangala,1,3,1,0,0.125,low,0.076,low,0.313,medium
Electronic City,1,3,1,0,0.508,medium,0.324,medium,0.415,medium
Indiranagar,1,3,1,0,0.264,low,0.317,medium,0.345,medium
MG Road,1,4,1,0,0.484,medium,0.292,low,0.42,medium
Whitefield,1,4,1,0,0.463,medium,0.373,medium,0.342,medium
Koramangala,1,4,1,0,0.062,low,0.155,low,0.17,low
Electronic City,1,4,1,0,0.46,medium,0.542,medium,0.263,low
Indiranagar,1,4,1,0,0.343,low,0.269,low,0.465,medium
MG Road,1,5,1,0,0.777,high,0.485,medium,0.634,high
Whitefield,1,5,1,0,0.564,medium,0.161,low,0.293,low
Koramangala,1,5,1,0,0.375,medium,0.154,low,0.365,medium
Electronic City,1,5,1,0,0.689,high,0.478,medium,0.668,high
Indiranagar,1,5,1,0,0.698,high,0.548,medium,0.735,high
